D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_643.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_643.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_643.jpg,0,0,0,6.483127E-06
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_713.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_713.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_713.jpg,0,0,0,4.708658E-06
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_782.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_782.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_782.jpg,0,0,0,1.257584E-05
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_853.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_853.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_853.jpg,0,0,0,1.649932E-05
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_922.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_922.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_922.jpg,0,0,0,1.776298E-05
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_24_990.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_24_990.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_24_990.jpg,0,0,0,6.86356E-06
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_25_061.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_25_061.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_25_061.jpg,0,0,0,1.045966E-05
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_25_129.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_25_129.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_25_129.jpg,0,0,0,1.280927E-05
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_25_199.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_25_199.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_25_199.jpg,0,0,0,2.419791E-06
D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\center_2024_02_17_13_51_25_271.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\left_2024_02_17_13_51_25_271.jpg,D:\My_Studies\Projects\AI projects\SelfDrivingSimulation\IMG\right_2024_02_17_13_51_25_271.jpg,-0.05,0,0,1.044437E-05
